ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
214455_at	0.99	0.9417897	-0.0735892	-5.2179	-0.06088421	HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG	histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg
206049_at	0.946	0.7701658	-0.294617	-5.218	-0.154405	SELP	selectin P
205071_x_at	0.943	0.7611791	0.3065077	-5.2181	0.23059587	XRCC4	X-ray repair cross complementing 4
216647_at	0.799	0.3927494	-0.8662002	-5.2181	-0.38625401	TCF3	transcription factor 3
49306_at	0.786	0.3694751	-0.9101297	-5.2181	-0.39178051	RASSF4	Ras association domain family member 4
206527_at	0.921	0.684436	0.4100939	-5.2183	0.22035841	ABAT	4-aminobutyrate aminotransferase
206022_at	0.792	0.3772478	-0.8952659	-5.2183	-0.3738181	NDP	NDP, norrin cystine knot growth factor
207917_at	0.997	0.9858164	0.0179152	-5.2183	0.01229542	NUDT13	nudix hydrolase 13
207852_at	0.988	0.9326714	0.0851433	-5.2183	0.07435993	CXCL5	C-X-C motif chemokine ligand 5
204816_s_at	0.968	0.8580135	-0.180334	-5.2184	-0.11942817	DHX34	DEAH-box helicase 34
204351_at	0.996	0.9681162	0.0402811	-5.2184	0.02611702	S100P	S100 calcium binding protein P
202166_s_at	0.852	0.4999642	-0.6821943	-5.2184	-0.28505451	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2
209339_at	0.985	0.9175599	-0.1043181	-5.2184	-0.06104869	SIAH2	siah E3 ubiquitin protein ligase 2
220457_at	0.996	0.968519	-0.039772	-5.2185	-0.02417112	SAMD4B	sterile alpha motif domain containing 4B
204410_at	0.955	0.8087555	0.2440178	-5.2185	0.21621327	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked
202335_s_at	0.958	0.8187334	0.2310439	-5.2185	0.1462744	UBE2B	ubiquitin conjugating enzyme E2 B
215525_at	0.996	0.9739449	0.0329142	-5.2185	0.02068922		
206604_at	0.927	0.711217	-0.3734892	-5.2185	-0.18877972	OVOL1	ovo like transcriptional repressor 1
216043_x_at	0.92	0.6809371	0.4149171	-5.2186	0.23336979		
213132_s_at	0.943	0.7600302	0.308031	-5.2186	0.18691986	MCAT	malonyl-CoA-acyl carrier protein transacylase
220920_at	0.762	0.3273101	0.9945805	-5.2186	0.40984413	ATP10B	ATPase phospholipid transporting 10B (putative)
211119_at	0.993	0.9581946	-0.0528264	-5.2186	-0.03339682	ESR2	estrogen receptor 2
214200_s_at	0.953	0.7969446	-0.2594302	-5.2187	-0.1311253	COL6A1	collagen type VI alpha 1 chain
208344_x_at	0.939	0.7443513	0.3288952	-5.2187	0.19057625	IFNA13///IFNA1	interferon alpha 13///interferon alpha 1
204458_at	0.972	0.8733432	0.1606798	-5.2187	0.10833255	PLA2G15	phospholipase A2 group XV
203243_s_at	0.853	0.5021262	-0.6787334	-5.2188	-0.38681463	PDLIM5	PDZ and LIM domain 5
222079_at	0.975	0.8861011	0.1443718	-5.2188	0.08995294	ERG	ERG, ETS transcription factor
206892_at	0.976	0.8879578	0.1420019	-5.2188	0.07423432	AMHR2	anti-Mullerian hormone receptor type 2
205380_at	0.999	0.9943555	-0.0071292	-5.2188	-0.00445145	PDZK1	PDZ domain containing 1
214628_at	0.988	0.9334857	0.084111	-5.2189	0.05101176	NHLH1	nescient helix-loop-helix 1
214134_at	0.973	0.8763784	-0.1567962	-5.2189	-0.08414161	KIAA1211L	KIAA1211 like
220339_s_at	0.995	0.9663612	-0.0424996	-5.219	-0.01925994	TPSG1	tryptase gamma 1
221286_s_at	0.983	0.9106562	0.113091	-5.2191	0.06010495	MZB1	marginal zone B and B1 cell specific protein
210255_at	0.994	0.9605723	0.0498192	-5.2191	0.02673528	RAD51B	RAD51 paralog B
208621_s_at	0.996	0.9720258	0.0353395	-5.2191	0.01794896	EZR	ezrin
216373_at	0.95	0.7835008	-0.277051	-5.2191	-0.19870856	TAPT1	transmembrane anterior posterior transformation 1
206873_at	0.979	0.8976678	0.1296208	-5.2191	0.07864485	CA6	carbonic anhydrase 6
204636_at	0.958	0.8222768	0.2264464	-5.2192	0.13981641	COL17A1	collagen type XVII alpha 1 chain
214916_x_at	0.998	0.9896621	0.0130574	-5.2192	0.00830289	IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
217218_at	0.986	0.9196565	0.1016557	-5.2192	0.06656887	WAPL	WAPL cohesin release factor
222343_at	0.99	0.9415093	-0.0739443	-5.2192	-0.03693715	BCL2L11	BCL2 like 11
213855_s_at	0.954	0.8024258	-0.25227	-5.2192	-0.16228556	LIPE	lipase E, hormone sensitive type
204729_s_at	0.948	0.7787851	-0.2832526	-5.2192	-0.15104592	STX1A	syntaxin 1A
220540_at	0.948	0.7779194	0.2843923	-5.2193	0.13976373	KCNK15	potassium two pore domain channel subfamily K member 15
222054_at	0.993	0.9595985	0.0510508	-5.2195	0.02921863	PPIEL	peptidylprolyl isomerase E like pseudogene
221948_s_at	0.973	0.8788813	0.1535955	-5.2195	0.08161934	KLHL22	kelch like family member 22
219021_at	0.863	0.5295278	-0.6355583	-5.2195	-0.36260446	RNF121	ring finger protein 121
220404_at	0.989	0.9364973	0.080294	-5.2195	0.04657376	ADGRG3	adhesion G protein-coupled receptor G3
214966_at	0.995	0.9628649	0.0469202	-5.2195	0.03464315	GRIK5	glutamate ionotropic receptor kainate type subunit 5
210807_s_at	0.931	0.7220658	-0.3588086	-5.2196	-0.24348439	SLC16A7	solute carrier family 16 member 7
220810_at	0.945	0.7653764	0.3009487	-5.2196	0.20274844	CLCA3P	chloride channel accessory 3, pseudogene
216147_at	0.963	0.8347775	-0.210265	-5.2196	-0.11767152		
214601_at	0.924	0.6959152	0.3943378	-5.2196	0.25957472	TPH1	tryptophan hydroxylase 1
211543_s_at	0.922	0.6887601	-0.4041467	-5.2198	-0.19350599	GRK6	G protein-coupled receptor kinase 6
220032_at	0.997	0.984272	0.0198661	-5.2198	0.01078317	CPED1	cadherin like and PC-esterase domain containing 1
214478_at	0.955	0.8062984	0.2472191	-5.2198	0.14047797	SPP2	secreted phosphoprotein 2
219610_at	0.969	0.860059	-0.1777076	-5.2198	-0.0995793	ARHGEF28	Rho guanine nucleotide exchange factor 28
219140_s_at	0.918	0.6755388	-0.4223781	-5.2199	-0.29473788	RBP4	retinol binding protein 4
220038_at	0.92	0.6796349	-0.4167147	-5.2199	-0.23252512	C8orf44-SGK3///SGK3	C8orf44-SGK3 readthrough///serum/glucocorticoid regulated kinase family member 3
218777_at	0.883	0.5818555	0.5562588	-5.2199	0.2687554	REEP4	receptor accessory protein 4
220186_s_at	0.937	0.7405491	-0.3339768	-5.2199	-0.18207103	CDHR2	cadherin related family member 2
210360_s_at	0.984	0.9127415	-0.1104402	-5.22	-0.08256868	MTSS1	metastasis suppressor 1
220569_at	0.979	0.8966719	0.1308897	-5.22	0.07551745		
217370_x_at	0.946	0.7705313	0.2941344	-5.22	0.15644789	FUS	FUS RNA binding protein
209231_s_at	0.958	0.8209771	0.2281321	-5.22	0.12350327	DCTN5	dynactin subunit 5
217269_s_at	0.869	0.5423495	-0.6157677	-5.22	-0.32394083	TMPRSS15	transmembrane protease, serine 15
205929_at	0.989	0.9362251	-0.0806389	-5.22	-0.05497603	GPA33	glycoprotein A33
216870_x_at	0.953	0.7963583	0.2601968	-5.22	0.16436983	DLEU2	deleted in lymphocytic leukemia 2 (non-protein coding)
205397_x_at	0.993	0.9543905	0.0576386	-5.2201	0.02688097	SMAD3	SMAD family member 3
200928_s_at	0.926	0.7044927	0.3826299	-5.2201	0.21961476	RAB14	RAB14, member RAS oncogene family
210167_s_at	0.974	0.8796879	0.1525644	-5.2201	0.10250819	TEF	TEF, PAR bZIP transcription factor
215549_x_at	0.993	0.9570129	-0.0543211	-5.2201	-0.03084518	CTAGE8///CTAGE4///CTAGE9	CTAGE family member 8///CTAGE family member 4///CTAGE family member 9
202079_s_at	0.854	0.5044418	-0.6750359	-5.2202	-0.26760552	TRAK1	trafficking kinesin protein 1
