ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
BC015014_PROBE1	4.52e-10	2.63e-12	11.4049604	18.141392	2.13482687	RAB18	RAB18, member RAS oncogene family
AA133354_PROBE1	4.52e-10	2.66e-12	11.4002971	18.131495	1.76297887	BNIP2	BCL2 interacting protein 2
NM_013386.1_PROBE1	4.52e-10	2.66e-12	11.4007854	18.13147	2.20464267	SLC25A24	solute carrier family 25 member 24
2135776CB1_PROBE1	4.57e-10	2.71e-12	11.3909592	18.11245	2.80935514	SERINC1	serine incorporator 1
2581158CB1_PROBE1	4.81e-10	2.89e-12	11.3604124	18.048684	2.0634058	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
NM_013283.1_PROBE1	4.81e-10	2.91e-12	11.3579914	18.043273	1.59471804	MAT2B	methionine adenosyltransferase 2B
NM_018448.1_PROBE1	4.86e-10	2.97e-12	11.3484083	18.022735	1.77228952	CAND1	cullin associated and neddylation dissociated 1
NM_001241.1_PROBE1	5.24e-10	3.23e-12	11.3085207	17.931164	2.64658406	CCNT2	cyclin T2
990236.1_PROBE1	5.52e-10	3.45e-12	11.2775557	17.875203	1.83961369		
NM_024558.1_PROBE1	5.52e-10	3.55e-12	11.2648415	17.842724	1.82187843	VCPKMT	valosin containing protein lysine methyltransferase
NM_014819.1_PROBE1	5.52e-10	3.58e-12	11.2607472	17.839273	2.39700188	PJA2	praja ring finger ubiquitin ligase 2
AL137257_PROBE1	5.52e-10	3.61e-12	11.2572207	17.832632	1.72852301	UHMK1	U2AF homology motif (UHM) kinase 1
NM_032842.1_PROBE1	5.52e-10	3.63e-12	11.2540427	17.825952	2.02465398	TMEM209	transmembrane protein 209
330922.2_PROBE1	5.52e-10	3.63e-12	11.2536918	17.825208	1.68280516		
NM_004725.1_PROBE1	5.52e-10	3.64e-12	11.2530028	17.82284	1.63956963	BUB3	BUB3, mitotic checkpoint protein
242072.3_PROBE1	5.52e-10	3.65e-12	11.2508501	17.818272	2.07078852	MCMBP	minichromosome maintenance complex binding protein
1383798.7_PROBE1	5.65e-10	3.79e-12	11.2340213	17.783879	1.61713514		
NM_012433.1_PROBE1	5.65e-10	3.82e-12	11.2301388	17.775364	2.24241392	SF3B1	splicing factor 3b subunit 1
1397528.1_PROBE1	5.65e-10	3.83e-12	11.2283047	17.771043	1.96829936	GOLGA8G	golgin A8 family member G
NM_016248.1_PROBE1	6.06e-10	4.15e-12	11.1912516	17.693642	2.54727861	AKAP11	A-kinase anchoring protein 11
NM_014953.1_PROBE1	6.15e-10	4.24e-12	11.1809029	17.670728	1.4886589	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
NM_020159.1_PROBE1	6.26e-10	4.36e-12	11.1684775	17.642154	1.9074027	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
NM_022037.1_PROBE1	6.28e-10	4.41e-12	11.1631044	17.632733	1.66179735	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
NM_000788.1_PROBE1	6.39e-10	4.52e-12	11.1515354	17.609273	1.88415634	DCK	deoxycytidine kinase
1505668.1_PROBE1	6.48e-10	4.62e-12	11.1410094	17.587306	1.82246917		
AL080111_PROBE1	6.76e-10	4.99e-12	11.1053865	17.51244	2.59954335	NEK7	NIMA related kinase 7
NM_020654.1_PROBE1	6.76e-10	4.92e-12	11.1116713	17.509252	2.555437	SENP7	SUMO1/sentrin specific peptidase 7
NM_000052.1_PROBE1	6.76e-10	5.03e-12	11.1014861	17.504189	1.65605843	ATP7A	ATPase copper transporting alpha
NM_024948.1_PROBE1	6.76e-10	5.10e-12	11.0950116	17.478702	2.05955142	FAM188A	family with sequence similarity 188 member A
NM_002806.1_PROBE1	6.76e-10	5.19e-12	11.0875684	17.474699	2.45946876	PSMC6	proteasome 26S subunit, ATPase 6
AB020681_PROBE1	6.76e-10	5.20e-12	11.085953	17.469739	2.07620806	ANKRD12	ankyrin repeat domain 12
NM_004779.1_PROBE1	6.76e-10	5.22e-12	11.0847478	17.465955	1.49441824	CNOT8	CCR4-NOT transcription complex subunit 8
NM_004793.1_PROBE1	6.76e-10	5.24e-12	11.082997	17.462611	1.7845264	LONP1	lon peptidase 1, mitochondrial
246372.1_PROBE1	6.76e-10	5.26e-12	11.0805497	17.459203	1.47080376	LINC00938	long intergenic non-protein coding RNA 938
217860.13_PROBE1	6.76e-10	5.30e-12	11.0770305	17.451593	2.62040425	ZBTB1	zinc finger and BTB domain containing 1
406595.3_PROBE1	6.76e-10	5.31e-12	11.0766573	17.44865	2.17518634	MFSD8	major facilitator superfamily domain containing 8
Y10183_PROBE1	6.76e-10	5.30e-12	11.0769954	17.448544	2.06497526	ALCAM	activated leukocyte cell adhesion molecule
NM_018349.1_PROBE1	6.76e-10	5.31e-12	11.0761128	17.447523	1.6234524	MCTP2	multiple C2 and transmembrane domain containing 2
444318.1_PROBE1	6.89e-10	5.46e-12	11.0635064	17.420747	1.84450801	LMBRD1	LMBR1 domain containing 1
NM_003372.2_PROBE1	6.90e-10	5.50e-12	11.0600467	17.413871	1.82601983	VBP1	VHL binding protein 1
1383121.16_PROBE1	6.98e-10	5.65e-12	11.0476601	17.388086	2.35401981	EIF4A2	eukaryotic translation initiation factor 4A2
NM_032490.1_PROBE1	6.98e-10	5.61e-12	11.0514195	17.383741	2.1984399	GON7	GON7, KEOPS complex subunit homolog
NM_005072.1_PROBE1	7.02e-10	5.72e-12	-11.0418192	17.376433	-1.59341969	SLC12A4	solute carrier family 12 member 4
AI435998_PROBE1	7.06e-10	5.80e-12	-11.0359911	17.362395	-1.52106104	C17orf51	chromosome 17 open reading frame 51
1164406.1_PROBE1	7.17e-10	5.95e-12	11.0238248	17.336127	1.74569768		
2127201CB1_PROBE1	7.17e-10	5.96e-12	11.0226999	17.333615	1.71473173	MEMO1	mediator of cell motility 1
NM_005739.2_PROBE1	7.50e-10	6.28e-12	10.9987773	17.283086	2.15033198	RASGRP1	RAS guanyl releasing protein 1
239418.6_PROBE1	7.56e-10	6.37e-12	10.9920866	17.268146	1.77076478	SNX18	sorting nexin 18
238602.2_PROBE1	8.12e-10	6.89e-12	10.9560907	17.191728	1.72241044	SPTSSA	serine palmitoyltransferase small subunit A
NM_005201.2_PROBE1	8.32e-10	7.11e-12	-10.9418254	17.163443	-1.98471166	CCR8	C-C motif chemokine receptor 8
409942.1_PROBE1	8.41e-10	7.23e-12	-10.9336683	17.144731	-1.72627821		
478648.1_PROBE1	8.88e-10	7.74e-12	10.9026759	17.079255	2.35556532	FAM91A1	family with sequence similarity 91 member A1
1327737.9_PROBE1	8.89e-10	7.79e-12	10.8992803	17.071234	1.93282369	FAM133B	family with sequence similarity 133 member B
1398225.2_PROBE1	8.88e-10	7.70e-12	10.9047961	17.05121	3.08989783	NUDT21	nudix hydrolase 21
412959.10_PROBE1	9.08e-10	8.08e-12	10.8830153	17.034347	2.04070385	TMEM126B	transmembrane protein 126B
402008.15_PROBE1	9.08e-10	8.17e-12	10.8778031	17.025373	2.31796696	UBA5	ubiquitin like modifier activating enzyme 5
BC000819_PROBE1	9.08e-10	8.15e-12	10.8788595	17.025078	1.2011881		
1448116CB1_PROBE1	9.08e-10	8.24e-12	-10.8737462	17.015856	-1.07504573	WASF2	WAS protein family member 2
AL133574_PROBE1	9.08e-10	8.31e-12	-10.8700672	17.009298	-1.70147912	TEAD1	TEA domain transcription factor 1
NM_003317.1_PROBE1	9.08e-10	8.29e-12	-10.8709264	17.009147	-1.23243965	NKX2-1	NK2 homeobox 1
AF092051_PROBE1	9.08e-10	8.33e-12	-10.8690014	17.006668	-1.40829938	B3GALT6	beta-1,3-galactosyltransferase 6
234871.7_PROBE1	9.29e-10	8.56e-12	10.8560753	16.968197	2.45955475	CPNE8	copine 8
1073125.2_PROBE1	9.42e-10	8.77e-12	10.8450785	16.953604	1.91148843	TMEM181	transmembrane protein 181
239270.1_PROBE1	9.42e-10	8.79e-12	10.8440298	16.952241	1.99170533	AKAP9	A-kinase anchoring protein 9
AL080084_PROBE1	9.46e-10	8.88e-12	10.8392568	16.933145	2.7416986	TMED5	transmembrane p24 trafficking protein 5
1099448.1_PROBE1	9.53e-10	9.00e-12	10.8332767	16.927522	2.25200218		
NM_021145.1_PROBE1	1.01e-09	9.64e-12	10.8020797	16.859459	1.36606673	DMTF1	cyclin D binding myb like transcription factor 1
NM_000321.1_PROBE1	1.03e-09	9.81e-12	10.7938894	16.841876	1.92886122	RB1	RB transcriptional corepressor 1
NM_023012.1_PROBE1	1.03e-09	9.86e-12	10.7914093	16.83528	1.49830053	RSRC2	arginine and serine rich coiled-coil 2
333273.1_PROBE1	1.07e-09	1.04e-11	10.7673262	16.789576	1.93630195	PTPN4	protein tyrosine phosphatase, non-receptor type 4
NM_001356.2_PROBE1	1.08e-09	1.06e-11	10.7605237	16.771392	2.28747214	DDX3X	DEAD-box helicase 3, X-linked
414894.4_PROBE2	1.08e-09	1.06e-11	10.7581273	16.765413	2.02641411	AEBP2	AE binding protein 2
236465.2_PROBE1	1.12e-09	1.10e-11	10.7419291	16.734483	2.22664142	ZNF207	zinc finger protein 207
458509.1_PROBE1	1.13e-09	1.12e-11	10.7349319	16.714282	1.4103734	ERCC6L2	ERCC excision repair 6 like 2
AB037774_PROBE1	1.13e-09	1.12e-11	10.7327324	16.707123	1.68616165	ZMYM6	zinc finger MYM-type containing 6
AA873020_PROBE1	1.13e-09	1.13e-11	-10.7274537	16.695694	-1.11579429		
NM_017634.1_PROBE1	1.18e-09	1.20e-11	10.7025128	16.64745	1.53358082	KCTD9	potassium channel tetramerization domain containing 9
NM_016095.1_PROBE1	1.18e-09	1.20e-11	-10.7022415	16.646842	-1.12050697	GINS2	GINS complex subunit 2
NM_000700.1_PROBE1	1.18e-09	1.20e-11	10.7013269	16.641866	1.75820678	ANXA1	annexin A1
1362208CB1_PROBE1	1.18e-09	1.20e-11	10.7002395	16.640741	1.54795402	WWP1	WW domain containing E3 ubiquitin protein ligase 1
NM_003569.1_PROBE1	1.18e-09	1.21e-11	10.697103	16.631484	1.97573289	STX7	syntaxin 7
X68560_PROBE1	1.19e-09	1.24e-11	10.6868492	16.614044	1.99813283	SP3	Sp3 transcription factor
AF081567_PROBE1	1.19e-09	1.24e-11	10.6858116	16.604886	2.18191261	THAP12	THAP domain containing 12
1376490.1_PROBE1	1.19e-09	1.25e-11	10.6833667	16.601669	1.95594446		
NM_018260.1_PROBE1	1.21e-09	1.28e-11	10.673364	16.583791	1.91635035	ZNF701	zinc finger protein 701
NM_016559.1_PROBE1	1.21e-09	1.28e-11	-10.6722644	16.582759	-2.2096917	PEX5L	peroxisomal biogenesis factor 5 like
AK002197_PROBE1	1.21e-09	1.29e-11	10.6691661	16.577491	1.8204539	KLHL42	kelch like family member 42
AB007883_PROBE1	1.21e-09	1.29e-11	10.6683691	16.572488	1.72931383	FAM179B	family with sequence similarity 179 member B
AB023182_PROBE1	1.22e-09	1.32e-11	10.6605313	16.556954	2.27079018	STK38L	serine/threonine kinase 38 like
2814863CB1_PROBE1	1.23e-09	1.33e-11	10.6548107	16.540459	2.72392758	NAMPT	nicotinamide phosphoribosyltransferase
898656.1_PROBE1	1.24e-09	1.34e-11	10.6504711	16.531946	1.43057259	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
NM_006164.1_PROBE1	1.24e-09	1.35e-11	10.6470976	16.52501	1.62750951	NFE2L2	nuclear factor, erythroid 2 like 2
332504.1_PROBE1	1.27e-09	1.39e-11	10.6353517	16.503271	1.81332746		
